width	length	x	Vmax 
7.060000 2.480000 0.556100 4.524096 numThread:%!d(MISSING) 
6.180000 9.250000 1.211600 31.073811 numThread:%!d(MISSING) 
1.040000 4.500000 0.243200 0.540373 numThread:%!d(MISSING) 
0.810000 4.510000 0.192600 0.337477 numThread:%!d(MISSING) 
2.280000 3.320000 0.443100 1.503097 numThread:%!d(MISSING) 
9.170000 5.730000 1.146100 27.098962 numThread:%!d(MISSING) 
5.380000 1.010000 0.239500 0.623282 numThread:%!d(MISSING) 
3.200000 2.690000 0.485300 1.860267 numThread:%!d(MISSING) 
6.770000 5.040000 0.953000 14.527319 numThread:%!d(MISSING) 
1.290000 7.940000 0.308300 1.520405 numThread:%!d(MISSING) 
1.280000 5.130000 0.297500 0.924176 numThread:%!d(MISSING) 
7.350000 7.660000 1.250000 31.282500 numThread:%!d(MISSING) 
0.130000 6.280000 0.032300 0.013130 numThread:%!d(MISSING) 
6.480000 5.600000 0.998700 16.128021 numThread:%!d(MISSING) 
0.810000 9.240000 0.197900 0.724961 numThread:%!d(MISSING) 
8.020000 7.220000 1.264800 32.571347 numThread:%!d(MISSING) 
5.480000 5.010000 0.871500 10.639951 numThread:%!d(MISSING) 
9.260000 7.190000 1.338700 39.765603 numThread:%!d(MISSING) 
4.030000 3.400000 0.612500 3.736786 numThread:%!d(MISSING) 
0.100000 2.710000 0.024800 0.003325 numThread:%!d(MISSING) 
5.110000 5.340000 0.870200 10.554840 numThread:%!d(MISSING) 
1.470000 0.070000 0.017300 0.000879 numThread:%!d(MISSING) 
4.700000 8.150000 0.960700 16.626631 numThread:%!d(MISSING) 
1.170000 8.890000 0.282200 1.422848 numThread:%!d(MISSING) 
5.300000 0.870000 0.207800 0.461206 numThread:%!d(MISSING) 
3.900000 4.330000 0.683000 5.129860 numThread:%!d(MISSING) 
2.680000 4.060000 0.527400 2.575849 numThread:%!d(MISSING) 
1.010000 1.770000 0.207000 0.167292 numThread:%!d(MISSING) 
8.860000 6.790000 1.270400 34.112202 numThread:%!d(MISSING) 
2.240000 9.140000 0.521500 5.054435 numThread:%!d(MISSING) 
1.050000 9.180000 0.254600 1.193862 numThread:%!d(MISSING) 
5.940000 1.820000 0.414800 2.099444 numThread:%!d(MISSING) 
1.410000 6.520000 0.331400 1.450372 numThread:%!d(MISSING) 
9.830000 2.640000 0.609700 7.457984 numThread:%!d(MISSING) 
4.360000 0.760000 0.181000 0.288008 numThread:%!d(MISSING) 
2.040000 6.630000 0.464700 2.942056 numThread:%!d(MISSING) 
3.730000 4.240000 0.660100 4.644552 numThread:%!d(MISSING) 
3.620000 3.940000 0.628300 3.984646 numThread:%!d(MISSING) 
7.100000 1.420000 0.335500 1.615540 numThread:%!d(MISSING) 
8.380000 8.700000 1.422600 46.099562 numThread:%!d(MISSING) 
5.590000 9.460000 1.135400 27.093361 numThread:%!d(MISSING) 
6.760000 7.100000 1.154000 24.619418 numThread:%!d(MISSING) 
2.310000 5.790000 0.508600 3.138202 numThread:%!d(MISSING) 
1.750000 1.760000 0.292500 0.400396 numThread:%!d(MISSING) 
4.200000 5.030000 0.759900 7.149168 numThread:%!d(MISSING) 
5.490000 9.370000 1.117600 25.953295 numThread:%!d(MISSING) 
8.500000 2.410000 0.553700 5.331910 numThread:%!d(MISSING) 
9.780000 5.820000 1.179900 30.294376 numThread:%!d(MISSING) 
1.130000 2.370000 0.241100 0.294845 numThread:%!d(MISSING) 
2.800000 1.980000 0.381100 0.945750 numThread:%!d(MISSING) 
4.150000 5.370000 0.774000 7.697309 numThread:%!d(MISSING) 
6.790000 5.210000 0.974300 15.383946 numThread:%!d(MISSING) 
3.890000 9.280000 0.849700 14.110171 numThread:%!d(MISSING) 
4.970000 1.160000 0.271100 0.741593 numThread:%!d(MISSING) 
3.920000 0.580000 0.139200 0.152884 numThread:%!d(MISSING) 
4.100000 3.890000 0.665100 4.715648 numThread:%!d(MISSING) 
2.620000 1.060000 0.232900 0.298118 numThread:%!d(MISSING) 
4.390000 1.470000 0.331600 0.997049 numThread:%!d(MISSING) 
9.330000 9.190000 1.543200 58.808940 numThread:%!d(MISSING) 
8.370000 6.940000 1.259200 32.579829 numThread:%!d(MISSING) 
1.070000 2.620000 0.234700 0.303150 numThread:%!d(MISSING) 
4.180000 0.530000 0.128000 0.137623 numThread:%!d(MISSING) 
7.170000 8.650000 1.301100 35.943071 numThread:%!d(MISSING) 
6.870000 7.140000 1.166800 25.440619 numThread:%!d(MISSING) 
6.840000 9.140000 1.290900 36.049838 numThread:%!d(MISSING) 
0.820000 9.410000 0.200300 0.756842 numThread:%!d(MISSING) 
1.230000 6.890000 0.292500 1.189517 numThread:%!d(MISSING) 
9.760000 2.950000 0.673300 9.082848 numThread:%!d(MISSING) 
0.880000 3.010000 0.201600 0.250573 numThread:%!d(MISSING) 
5.020000 0.920000 0.218500 0.483669 numThread:%!d(MISSING) 
6.020000 8.880000 1.174800 28.158993 numThread:%!d(MISSING) 
1.290000 5.060000 0.299300 0.923224 numThread:%!d(MISSING) 
4.020000 0.820000 0.193500 0.304393 numThread:%!d(MISSING) 
9.860000 5.960000 1.203200 31.869294 numThread:%!d(MISSING) 
0.280000 6.280000 0.069200 0.060180 numThread:%!d(MISSING) 
8.730000 4.610000 0.962600 17.586247 numThread:%!d(MISSING) 
5.590000 5.290000 0.905600 11.904736 numThread:%!d(MISSING) 
4.040000 4.110000 0.679100 5.011607 numThread:%!d(MISSING) 
8.370000 7.250000 1.291700 34.880741 numThread:%!d(MISSING) 
9.950000 8.870000 1.560600 61.265107 numThread:%!d(MISSING) 
5.790000 5.840000 0.969100 14.564559 numThread:%!d(MISSING) 
0.070000 6.810000 0.017500 0.004150 numThread:%!d(MISSING) 
9.780000 0.770000 0.188600 0.696579 numThread:%!d(MISSING) 
6.710000 4.550000 0.887900 12.153982 numThread:%!d(MISSING) 
2.860000 1.500000 0.313700 0.611140 numThread:%!d(MISSING) 
9.480000 2.730000 0.626300 7.612777 numThread:%!d(MISSING) 
9.130000 6.420000 1.238100 32.489300 numThread:%!d(MISSING) 
0.670000 5.060000 0.161600 0.265464 numThread:%!d(MISSING) 
5.890000 1.110000 0.263200 0.823868 numThread:%!d(MISSING) 
3.360000 7.720000 0.729300 8.682627 numThread:%!d(MISSING) 
4.920000 0.060000 0.015000 0.002200 numThread:%!d(MISSING) 
5.140000 5.850000 0.910100 12.175436 numThread:%!d(MISSING) 
7.720000 3.500000 0.754100 9.330225 numThread:%!d(MISSING) 
5.020000 6.720000 0.948000 14.286527 numThread:%!d(MISSING) 
6.360000 5.400000 0.970300 14.834405 numThread:%!d(MISSING) 
2.410000 3.160000 0.451700 1.535687 numThread:%!d(MISSING) 
3.520000 2.120000 0.428400 1.441204 numThread:%!d(MISSING) 
2.340000 9.660000 0.545200 5.838314 numThread:%!d(MISSING) 
6.560000 6.960000 1.125200 22.837613 numThread:%!d(MISSING) 
0.980000 3.530000 0.225600 0.367292 numThread:%!d(MISSING) 
1.840000 6.070000 0.419900 2.196600 numThread:%!d(MISSING) 
9.180000 8.070000 1.428600 47.085930 numThread:%!d(MISSING) 
8.380000 0.610000 0.149600 0.375722 numThread:%!d(MISSING) 
9.770000 9.180000 1.576900 62.871862 numThread:%!d(MISSING) 
8.600000 5.410000 1.080000 22.604400 numThread:%!d(MISSING) 
5.950000 5.320000 0.934800 13.161061 numThread:%!d(MISSING) 
2.690000 1.490000 0.307600 0.558305 numThread:%!d(MISSING) 
0.270000 6.760000 0.066800 0.060377 numThread:%!d(MISSING) 
9.830000 0.380000 0.094100 0.174019 numThread:%!d(MISSING) 
1.970000 0.080000 0.019800 0.001544 numThread:%!d(MISSING) 
9.860000 7.830000 1.445300 49.753953 numThread:%!d(MISSING) 
6.270000 0.070000 0.017500 0.003819 numThread:%!d(MISSING) 
7.030000 6.720000 1.145000 24.042939 numThread:%!d(MISSING) 
1.190000 9.300000 0.287400 1.542689 numThread:%!d(MISSING) 
9.630000 0.730000 0.178900 0.617404 numThread:%!d(MISSING) 
9.600000 3.680000 0.815200 13.315878 numThread:%!d(MISSING) 
3.600000 4.830000 0.680400 5.285505 numThread:%!d(MISSING) 
5.360000 1.080000 0.255000 0.704948 numThread:%!d(MISSING) 
3.340000 0.110000 0.027300 0.004969 numThread:%!d(MISSING) 
9.170000 4.730000 0.992900 19.574906 numThread:%!d(MISSING) 
9.540000 1.750000 0.415600 3.325484 numThread:%!d(MISSING) 
1.850000 9.750000 0.438500 3.785759 numThread:%!d(MISSING) 
7.890000 7.840000 1.310800 36.037324 numThread:%!d(MISSING) 
9.550000 5.740000 1.160600 28.682861 numThread:%!d(MISSING) 
4.600000 6.290000 0.875300 11.321626 numThread:%!d(MISSING) 
2.900000 9.630000 0.662200 8.665750 numThread:%!d(MISSING) 
5.840000 2.040000 0.457700 2.534837 numThread:%!d(MISSING) 
1.590000 8.670000 0.377600 2.494907 numThread:%!d(MISSING) 
3.710000 6.810000 0.769100 8.805653 numThread:%!d(MISSING) 
0.460000 0.690000 0.090200 0.012852 numThread:%!d(MISSING) 
3.230000 4.390000 0.613300 3.886823 numThread:%!d(MISSING) 
6.930000 2.690000 0.594800 5.122951 numThread:%!d(MISSING) 
3.860000 0.180000 0.044500 0.015271 numThread:%!d(MISSING) 
2.440000 6.100000 0.537000 3.686782 numThread:%!d(MISSING) 
9.370000 7.610000 1.392400 44.243381 numThread:%!d(MISSING) 
0.120000 1.260000 0.029300 0.002161 numThread:%!d(MISSING) 
7.330000 1.680000 0.393200 2.299182 numThread:%!d(MISSING) 
8.000000 9.280000 1.428200 47.188341 numThread:%!d(MISSING) 
4.770000 3.400000 0.652700 4.736612 numThread:%!d(MISSING) 
0.500000 7.450000 0.122800 0.225068 numThread:%!d(MISSING) 
9.160000 7.650000 1.384000 43.188750 numThread:%!d(MISSING) 
5.900000 0.800000 0.192800 0.440580 numThread:%!d(MISSING) 
5.770000 2.380000 0.521300 3.295880 numThread:%!d(MISSING) 
0.830000 5.040000 0.198200 0.399069 numThread:%!d(MISSING) 
6.380000 0.680000 0.165200 0.349388 numThread:%!d(MISSING) 
8.460000 7.300000 1.302700 35.804716 numThread:%!d(MISSING) 
2.100000 1.740000 0.315800 0.513988 numThread:%!d(MISSING) 
4.520000 4.630000 0.762300 7.090850 numThread:%!d(MISSING) 
1.690000 1.010000 0.204500 0.157441 numThread:%!d(MISSING) 
1.790000 5.440000 0.404700 1.837648 numThread:%!d(MISSING) 
9.300000 5.420000 1.104900 25.148585 numThread:%!d(MISSING) 
7.170000 5.940000 1.078200 20.452868 numThread:%!d(MISSING) 
7.290000 7.570000 1.237700 30.358876 numThread:%!d(MISSING) 
7.690000 1.320000 0.314600 1.534493 numThread:%!d(MISSING) 
7.210000 9.030000 1.328100 38.548116 numThread:%!d(MISSING) 
8.280000 9.420000 1.465900 50.867010 numThread:%!d(MISSING) 
9.540000 1.470000 0.352200 2.382469 numThread:%!d(MISSING) 
0.420000 9.350000 0.103800 0.201564 numThread:%!d(MISSING) 
4.010000 3.860000 0.655500 4.509677 numThread:%!d(MISSING) 
9.420000 5.650000 1.143000 27.430601 numThread:%!d(MISSING) 
4.770000 7.980000 0.965900 16.580641 numThread:%!d(MISSING) 
6.380000 6.340000 1.060000 19.055832 numThread:%!d(MISSING) 
5.130000 9.470000 1.064900 23.451300 numThread:%!d(MISSING) 
2.600000 9.540000 0.599600 7.005602 numThread:%!d(MISSING) 
8.950000 0.610000 0.149800 0.402226 numThread:%!d(MISSING) 
4.870000 5.030000 0.824700 8.978971 numThread:%!d(MISSING) 
3.480000 0.360000 0.087600 0.053500 numThread:%!d(MISSING) 
3.870000 8.370000 0.830800 12.308161 numThread:%!d(MISSING) 
1.340000 5.110000 0.310100 1.002168 numThread:%!d(MISSING) 
1.930000 5.280000 0.430400 2.033644 numThread:%!d(MISSING) 
8.150000 1.830000 0.428900 3.040677 numThread:%!d(MISSING) 
3.920000 6.580000 0.794500 9.243230 numThread:%!d(MISSING) 
3.730000 8.380000 0.806400 11.553709 numThread:%!d(MISSING) 
5.560000 5.590000 0.929200 12.834938 numThread:%!d(MISSING) 
3.760000 4.400000 0.673800 4.961600 numThread:%!d(MISSING) 
7.150000 4.640000 0.917800 13.678619 numThread:%!d(MISSING) 
7.930000 9.050000 1.405800 44.888075 numThread:%!d(MISSING) 
7.450000 7.120000 1.213200 28.605763 numThread:%!d(MISSING) 
2.530000 8.510000 0.578500 5.840345 numThread:%!d(MISSING) 
2.460000 2.140000 0.380600 0.891481 numThread:%!d(MISSING) 
5.080000 0.960000 0.227600 0.531355 numThread:%!d(MISSING) 
8.790000 4.170000 0.890700 14.910979 numThread:%!d(MISSING) 
0.380000 3.800000 0.092500 0.065206 numThread:%!d(MISSING) 
3.860000 7.800000 0.817500 11.213750 numThread:%!d(MISSING) 
7.710000 7.350000 1.253900 31.585857 numThread:%!d(MISSING) 
3.920000 5.500000 0.752500 7.260064 numThread:%!d(MISSING) 
6.470000 6.890000 1.111700 22.030763 numThread:%!d(MISSING) 
9.260000 9.270000 1.544200 58.911790 numThread:%!d(MISSING) 
3.280000 0.410000 0.099100 0.064685 numThread:%!d(MISSING) 
1.870000 0.240000 0.058000 0.012615 numThread:%!d(MISSING) 
0.390000 7.780000 0.096200 0.144234 numThread:%!d(MISSING) 
0.820000 4.770000 0.195400 0.367265 numThread:%!d(MISSING) 
7.520000 7.260000 1.231100 29.874258 numThread:%!d(MISSING) 
1.500000 3.190000 0.321000 0.701765 numThread:%!d(MISSING) 
7.960000 4.850000 0.977000 16.993328 numThread:%!d(MISSING) 
2.070000 1.030000 0.217900 0.211590 numThread:%!d(MISSING) 
1.320000 4.840000 0.304400 0.916009 numThread:%!d(MISSING) 
4.140000 8.540000 0.880500 14.200036 numThread:%!d(MISSING) 
6.320000 8.720000 1.206300 29.729909 numThread:%!d(MISSING) 
5.900000 3.860000 0.761700 7.789421 numThread:%!d(MISSING) 
9.990000 1.540000 0.369000 2.738018 numThread:%!d(MISSING) 
0.900000 0.150000 0.035800 0.002325 numThread:%!d(MISSING) 
0.440000 4.550000 0.107200 0.104854 numThread:%!d(MISSING) 
5.690000 0.360000 0.088500 0.089286 numThread:%!d(MISSING) 
