width	length	x	Vmax 
3.390000 4.870000 0.655900 4.850152
5.170000 4.210000 0.769500 7.462920
6.430000 9.440000 1.253000 34.092897
3.260000 6.190000 0.681100 6.240374
0.260000 0.550000 0.055600 0.003630
6.880000 5.020000 0.956000 14.761160
9.960000 7.210000 1.376800 44.215383
3.570000 7.290000 0.757700 8.989726
0.610000 8.840000 0.149800 0.397111
8.850000 9.790000 1.547400 59.624750
1.850000 1.610000 0.286300 0.379398
3.210000 9.710000 0.725300 10.539761
3.480000 9.460000 0.775400 11.831386
9.460000 2.100000 0.492600 4.653940
6.600000 2.880000 0.624800 5.450313
9.520000 4.090000 0.889700 15.912667
6.080000 7.540000 1.115600 22.794508
7.980000 5.910000 1.119600 23.593699
7.890000 4.610000 0.939100 15.422872
6.730000 0.230000 0.057000 0.043745
8.470000 3.570000 0.779100 10.833510
6.570000 7.720000 1.179300 26.627415
6.160000 0.860000 0.207000 0.530482
1.800000 5.350000 0.405800 1.820319
4.690000 7.370000 0.933100 14.501895
7.010000 1.190000 0.283800 1.137967
4.520000 5.960000 0.848900 10.211232
0.230000 1.820000 0.055600 0.011287
3.630000 5.710000 0.722400 6.732996
4.450000 8.100000 0.920600 15.031518
6.490000 6.190000 1.055800 18.853280
0.600000 1.170000 0.126100 0.040252
9.790000 5.250000 1.092400 25.465438
5.470000 2.570000 0.550000 3.533145
7.870000 5.230000 1.027100 18.970350
2.650000 4.640000 0.543000 3.018242
0.130000 6.760000 0.032300 0.014143
7.730000 1.020000 0.246000 0.940129
5.290000 7.390000 1.014100 17.735716
6.810000 1.300000 0.308000 1.304902
0.470000 1.150000 0.103100 0.025669
8.980000 6.210000 1.204200 30.084040
4.960000 2.200000 0.475900 2.380944
9.130000 8.360000 1.453300 49.323098
7.440000 0.500000 0.122800 0.224755
8.580000 5.660000 1.114000 24.285271
9.260000 1.250000 0.301200 1.688727
4.090000 6.740000 0.824800 10.246171
6.500000 6.390000 1.074000 19.827312
0.420000 5.440000 0.102900 0.115368
2.730000 6.530000 0.596600 4.893071
7.000000 4.480000 0.889900 12.543660
2.150000 2.050000 0.349700 0.685125
5.000000 3.390000 0.661600 5.027637
2.890000 7.700000 0.642100 6.615230
0.730000 5.030000 0.175400 0.311221
2.460000 3.110000 0.454800 1.551550
8.410000 3.170000 0.703900 8.685617
4.350000 4.350000 0.725000 6.097250
4.440000 6.260000 0.853800 10.620399
9.290000 5.140000 1.061600 22.952644
8.210000 2.510000 0.572200 5.521034
5.750000 1.620000 0.372400 1.631317
8.950000 0.420000 0.103700 0.192745
3.020000 9.220000 0.683100 8.872523
6.250000 6.360000 1.050700 18.562956
7.420000 6.440000 1.146400 24.376504
9.610000 5.240000 1.086000 24.782285
7.320000 0.660000 0.161100 0.380817
4.570000 8.340000 0.946000 16.335286
4.770000 6.300000 0.896400 12.028644
6.160000 5.990000 1.012200 16.600217
4.810000 7.860000 0.967700 16.480759
2.790000 5.350000 0.584200 3.961392
9.300000 1.180000 0.285000 1.517710
4.290000 3.260000 0.611800 3.820334
9.530000 7.820000 1.424900 47.309430
5.550000 9.690000 1.136400 27.623211
7.480000 4.030000 0.837600 11.449274
6.290000 1.810000 0.415200 2.220583
5.400000 0.880000 0.210300 0.481069
1.300000 1.150000 0.203000 0.135023
5.750000 5.690000 0.953300 13.862049
2.170000 6.820000 0.492500 3.405379
5.230000 3.520000 0.688500 5.684930
5.140000 7.560000 1.002200 17.458464
4.470000 0.550000 0.133000 0.158793
7.730000 6.760000 1.199400 27.886565
4.540000 3.030000 0.594200 3.667585
3.290000 8.290000 0.725000 9.124560
3.760000 7.030000 0.782800 9.386617
7.520000 7.230000 1.228500 29.687561
7.280000 8.010000 1.269800 32.928307
3.420000 4.310000 0.631500 4.150457
9.830000 2.300000 0.537400 5.764620
1.260000 4.500000 0.289900 0.773024
9.720000 1.030000 0.250300 1.221652
6.820000 7.420000 1.183500 26.629944
2.890000 6.860000 0.630800 5.750647
2.520000 2.230000 0.393600 0.984033
6.050000 9.810000 1.214600 32.459457
7.860000 4.590000 0.935200 15.233768
2.280000 8.550000 0.526900 4.843181
0.580000 7.500000 0.142100 0.303303
0.460000 1.490000 0.104800 0.033600
0.290000 6.490000 0.071700 0.066711
6.300000 8.970000 1.215400 30.751410
4.900000 9.480000 1.028100 21.705044
6.670000 6.750000 1.118300 22.376856
7.200000 3.950000 0.817500 10.531832
2.950000 6.300000 0.631700 5.366121
1.890000 8.420000 0.443000 3.350912
5.940000 5.000000 0.901600 11.923229
7.220000 3.150000 0.683400 7.132937
4.070000 1.490000 0.332200 0.934035
0.250000 6.690000 0.061900 0.051294
0.180000 4.490000 0.044500 0.017822
4.020000 7.160000 0.827300 10.773492
6.250000 3.280000 0.685900 6.384756
6.240000 0.670000 0.162800 0.331610
9.430000 5.300000 1.090400 24.655803
4.120000 3.140000 0.588700 3.399829
0.730000 0.790000 0.126400 0.032403
5.730000 2.390000 0.522500 3.292442
6.840000 8.110000 1.232400 30.438899
7.850000 8.200000 1.336500 38.241647
5.240000 1.580000 0.360700 1.399397
5.790000 1.090000 0.258500 0.781039
2.420000 1.250000 0.262300 0.360642
9.800000 0.140000 0.034900 0.023839
0.100000 9.970000 0.024900 0.012400
5.020000 7.960000 1.001400 17.999228
5.090000 5.440000 0.876000 10.784037
2.460000 4.590000 0.511900 2.621837
4.510000 6.800000 0.886200 12.197265
0.550000 2.470000 0.129000 0.083322
5.090000 9.070000 1.047600 21.882406
0.270000 5.330000 0.066600 0.047347
7.540000 2.380000 0.540600 4.534926
2.000000 3.770000 0.417200 1.427548
1.810000 8.160000 0.424600 2.982482
5.910000 6.650000 1.041200 18.203243
8.920000 0.630000 0.154600 0.427058
5.620000 4.380000 0.814300 8.942592
6.520000 4.070000 0.814300 9.724260
3.070000 6.780000 0.661600 6.306330
0.260000 1.770000 0.062400 0.013880
0.320000 1.150000 0.073700 0.012754
